ABANICO,[1, 0, 1]
ABATIDO,[0, 1, 0]
ABDALAH,[0, 0, 2]
ABDICAR,[0, 1, 0]
ABDOMEN,[0, 1, 0]
ABIERTA,[2, 0, 5]
ABIERTO,[0, 2, 5]
ABOGADO,[2, 0, 0]
ABONARÉ,[0, 0, 1]
ABRAZAR,[0, 1, 0]
ABRAZOS,[1, 0, 1]
ABREVIA,[0, 0, 1]
ABRIERA,[0, 1, 0]
ABRIRLA,[0, 1, 1]
ABRIRLO,[0, 0, 1]
ABRIRSE,[0, 2, 1]
ABRIRÁS,[0, 0, 1]
ABSORBÍ,[0, 0, 1]
ABSORTO,[1, 0, 0]
ABSURDO,[1, 2, 0]
ABUELOS,[1, 0, 0]
ABUNDAN,[0, 0, 1]
ABUSADO,[0, 1, 0]
ACABABA,[4, 6, 4]
ACABADO,[1, 1, 2]
ACABARA,[1, 1, 0]
ACABARÁ,[0, 3, 2]
ACABARÉ,[0, 1, 0]
ACABASE,[1, 0, 1]
ACABÁIS,[0, 0, 1]
ACARREÓ,[0, 0, 1]
ACCEDER,[0, 2, 0]
ACCESOS,[0, 0, 2]
ACEPTAN,[0, 0, 1]
ACEPTAR,[1, 0, 2]
ACEQUIA,[6, 0, 0]
ACERQUÉ,[0, 0, 1]
ACIERTA,[0, 1, 0]
ACIERTO,[0, 1, 0]
ACOGIDA,[0, 0, 7]
ACOGIDO,[0, 0, 1]
ACOGÍAN,[0, 1, 0]
ACOMETE,[0, 1, 0]
ACOSADO,[1, 0, 0]
ACTITUD,[1, 17, 0]
ACTORES,[0, 1, 0]
ACUDIRÉ,[0, 0, 1]
ACUDÍAN,[3, 2, 0]
ACUERDA,[1, 2, 0]
ACUERDE,[0, 1, 1]
ACUERDO,[0, 2, 1]
ACUESTA,[0, 0, 1]
ACÓLITO,[1, 0, 0]
ADENTRO,[5, 0, 1]
ADIVINA,[1, 0, 3]
ADIVINÓ,[1, 2, 0]
ADMIRAR,[0, 0, 1]
ADMITEN,[1, 0, 0]
ADOPTAR,[0, 4, 0]
ADORABA,[2, 1, 0]
ADORADA,[0, 4, 0]
ADORADO,[0, 1, 1]
ADORNAR,[0, 0, 1]
ADORNOS,[1, 2, 0]
ADUANAS,[1, 1, 0]
ADUARES,[0, 0, 1]
ADVERTÍ,[0, 0, 5]
AFECTOS,[0, 1, 0]
AFICIÓN,[1, 5, 1]
AFILADO,[0, 0, 1]
AFINADO,[0, 0, 2]
AFIRMAR,[1, 1, 0]
AFIRMAS,[0, 0, 2]
AFLIGIÓ,[0, 0, 2]
AFLIGÍA,[0, 0, 1]
AFLUÍAN,[1, 0, 1]
AFSANAH,[0, 0, 1]
AFUERAS,[8, 0, 0]
AGALLAS,[2, 0, 0]
AGENTES,[0, 7, 0]
AGITABA,[1, 2, 0]
AGITADA,[1, 0, 0]
AGITADO,[0, 2, 0]
AGONICE,[0, 1, 0]
AGOTADO,[0, 0, 2]
AGRADAR,[0, 1, 0]
AGRESOR,[1, 0, 0]
AGUANTE,[2, 0, 0]
AGUARDA,[0, 1, 1]
AGUARDO,[0, 1, 0]
AGUARDÉ,[0, 0, 1]
AGUARDÓ,[0, 0, 2]
AGUIJÓN,[0, 1, 0]
AHOGADA,[1, 0, 0]
AHOGADO,[1, 0, 1]
AHORCAR,[0, 1, 1]
AHORQUE,[0, 2, 0]
AHORROS,[2, 0, 0]
AHUMADA,[1, 0, 0]
AISLADO,[0, 1, 0]
AJEDREZ,[0, 0, 1]
AJORCAS,[0, 0, 1]
AJUSTAR,[1, 1, 0]
AKNAMUS,[0, 0, 2]
ALABADA,[0, 1, 0]
ALABADO,[0, 1, 3]
ALADINO,[0, 0, 1]
ALAMEDA,[0, 1, 0]
ALARCÓN,[0, 0, 1]
ALARGUÉ,[0, 0, 1]
ALARIDO,[1, 0, 0]
ALBERGA,[0, 1, 1]
ALCALDE,[7, 1, 0]
ALCANCE,[1, 1, 2]
ALCANZA,[0, 2, 0]
ALCANZÓ,[0, 0, 1]
ALCOHOL,[0, 1, 0]
ALCÁZAR,[1, 2, 0]
ALEGABA,[0, 1, 0]
ALEGRES,[5, 3, 1]
ALEGRÍA,[1, 15, 22]
ALEJABA,[1, 0, 1]
ALEJADO,[0, 1, 2]
ALEJARA,[0, 1, 0]
ALFANJE,[0, 0, 11]
ALFONSO,[0, 1, 0]
ALFREDO,[0, 0, 1]
ALGODÓN,[1, 0, 0]
ALGUIEN,[9, 5, 9]
ALGUNAS,[7, 23, 8]
ALGUNOS,[19, 34, 11]
ALIADOS,[0, 0, 1]
ALIANZA,[0, 2, 0]
ALIENTO,[1, 0, 1]
ALIMAÑA,[1, 0, 0]
ALMACÉN,[0, 1, 0]
